Times,ConvLSTM_loss,GCNLSTM_loss,T-GCNLSTM_loss,STGCN_loss,ConvLSTM_time,GCNLSTM_time,T-GCNLSTM_time,STGCN_time
1,15.22624813,14.22569961,26.35351593,30.08215284,1239.680835,1371.125433,1612.251685,220.5179911
2,13.4630968,16.45607676,40.40025974,18.13542906,1102.733166,1370.912118,1382.949835,278.4337719
3,13.49604879,14.0059335,25.16286507,18.66544006,1205.003089,1323.475036,1767.181447,477.1974979
4,14.06345922,15.02052333,23.79253548,17.86501103,1064.650885,1380.050352,1223.497928,523.8734925
5,13.71047861,14.7361617,18.8185973,30.84097937,1138.711636,1326.283851,1534.132742,336.8361937
6,18.21845312,14.76561682,22.93100432,28.95728061,1264.59254,1418.443205,1199.227689,356.5888767
7,13.33681584,13.59050917,15.9799481,27.46215709,1319.061212,1362.386064,1337.785497,446.3941334
8,12.73343834,15.08798424,18.93339547,21.74951974,1161.115162,1354.609859,1945.047351,293.3166535
9,14.29800214,13.59277887,17.58962172,18.24330147,1169.804978,1307.556161,1332.441827,343.9780468
10,16.21415808,13.57794933,19.06119037,21.72908581,982.8525077,1322.292143,1953.071602,430.8529753
11,13.56933407,13.7343969,31.16062154,25.0616587,1146.529204,1306.482438,999.4760798,383.5864485
12,14.93765766,14.7101368,14.86199959,24.55476888,1061.358582,1347.506031,1754.225302,258.8663954
13,12.93099909,14.51874317,20.48368476,16.82028862,1265.892402,1452.60886,1129.848109,280.9301816
14,15.15326795,15.49101329,14.66080893,17.46904572,1178.180209,1315.004223,1662.305753,307.9060435
15,13.61439918,13.81561736,16.93708069,23.74127464,1107.547212,1329.621003,1781.104425,326.7407158
